lad_code,lad_name,total_hh,share_detached,share_semi,share_terraced,share_flats,share_flat_purpose,share_flat_converted,share_owned,share_rented_private,share_rented_social,share_65plus,epc_share_A,epc_share_B,epc_share_C,epc_share_D,epc_share_E,epc_share_F,epc_share_G,share_epc_d_or_worse,epc_certificates,epc_source
E09000003,Barnet,297834,0.0505,0.1374,0.0744,0.2336,0.1828,0.0441,0.5265,0.3271,0.1345,,0.0043,0.1852,0.3516,0.3506,0.0957,0.0108,0.0019,0.459,113316,real
E09000004,Bexley,190596,0.037,0.2212,0.1182,0.1216,0.1066,0.0089,0.6864,0.153,0.1467,,0.0045,0.0992,0.3282,0.4268,0.1235,0.0146,0.0032,0.5681,62409,real
E09000005,Brent,237224,0.0301,0.1116,0.0746,0.2802,0.1901,0.0824,0.3844,0.3602,0.235,,0.0008,0.2251,0.3486,0.3404,0.0763,0.0067,0.0022,0.4256,90175,real
E09000006,Bromley,271654,0.0904,0.1493,0.103,0.1531,0.1174,0.0292,0.6849,0.1742,0.132,,0.0026,0.0837,0.3528,0.4116,0.1301,0.016,0.0033,0.561,87558,real
E09000007,Camden,185518,0.0085,0.0178,0.0404,0.424,0.2812,0.1309,0.2965,0.3559,0.3369,,0.0009,0.1334,0.4518,0.327,0.0775,0.0073,0.002,0.4138,70920,real
E09000008,Croydon,305892,0.0612,0.1237,0.1163,0.1945,0.1448,0.0424,0.547,0.2579,0.179,,0.003,0.1448,0.3368,0.3895,0.1117,0.0115,0.0028,0.5155,109918,real
E09000009,Ealing,267318,0.0254,0.1093,0.1169,0.2429,0.1725,0.0635,0.4625,0.3403,0.1749,,0.0019,0.1881,0.3523,0.3647,0.0825,0.008,0.0024,0.4576,101595,real
E09000010,Enfield,241846,0.0375,0.124,0.1444,0.1905,0.1521,0.0325,0.5239,0.2926,0.1701,,0.002,0.0833,0.3558,0.4327,0.1116,0.0117,0.0029,0.5589,85072,real
E09000011,Greenwich,228108,0.0204,0.0881,0.1334,0.2504,0.2155,0.0301,0.4115,0.255,0.3097,,0.0031,0.2627,0.3563,0.3019,0.0674,0.0067,0.0018,0.3778,85346,real
E09000012,Hackney,212158,0.0068,0.018,0.0694,0.3878,0.302,0.0776,0.2457,0.3219,0.4048,,0.0017,0.198,0.4719,0.2655,0.0531,0.0063,0.0034,0.3283,78910,real
E09000013,Hammersmith and Fulham,162486,0.0057,0.0233,0.094,0.3705,0.2405,0.1227,0.3211,0.3638,0.2982,,0.0005,0.1701,0.426,0.3287,0.067,0.0056,0.0021,0.4034,66730,real
E09000014,Haringey,210184,0.0193,0.0471,0.128,0.2991,0.1769,0.1142,0.3722,0.3557,0.2519,,0.0012,0.1297,0.3834,0.3876,0.0875,0.0084,0.0023,0.4858,75025,real
E09000015,Harrow,179284,0.0567,0.1856,0.0844,0.17,0.1312,0.0321,0.5878,0.2956,0.1037,,0.0027,0.1374,0.3439,0.397,0.1044,0.0118,0.0027,0.5159,62299,real
E09000016,Havering,202554,0.0557,0.206,0.1217,0.1134,0.0992,0.0085,0.6949,0.1582,0.1363,,0.0027,0.1246,0.3029,0.4281,0.1245,0.0143,0.0028,0.5697,66800,real
E09000017,Hillingdon,218450,0.0695,0.1755,0.0997,0.1518,0.1309,0.0144,0.5661,0.2589,0.1612,,0.0016,0.1338,0.349,0.4017,0.1006,0.01,0.0032,0.5155,77587,real
E09000018,Hounslow,205922,0.0244,0.1431,0.1026,0.2247,0.1871,0.0318,0.4569,0.3087,0.21,,0.003,0.1811,0.3859,0.3424,0.0781,0.0071,0.0025,0.4301,72137,real
E09000019,Islington,192992,0.0043,0.0137,0.0636,0.4025,0.2868,0.1063,0.2667,0.3117,0.402,,0.0013,0.1586,0.4786,0.2975,0.0571,0.0051,0.0017,0.3614,70641,real
E09000020,Kensington and Chelsea,133768,0.0057,0.0154,0.064,0.4085,0.2834,0.1175,0.3168,0.3956,0.2756,,0.0003,0.0747,0.4618,0.3538,0.0981,0.0088,0.0024,0.4631,61055,real
